invoice_id,vendor_id,vendor_name,invoice_date,due_date,currency,subtotal,tax_amount,total_amount,po_number,cost_center,description,invoice_status
INV-2026-000938,V0047,Insight Technologies Incorporated,2026-01-03,2026-01-18,USD,716.75,0.0,716.75,PR-48086,HR,Professional consulting,OPEN
INV-2026-000960,V0040,Summit Textiles Incorporated,2026-01-03,2026-02-17,LKR,1326225.05,106098.0,1432323.06,CAPEX-39555,HR,Maintenance services,OPEN
INV-2026-000966,V0067,Unity Foods Corporation,2026-01-03,2026-02-02,USD,17210.98,1721.1,18932.08,OPEX-30582,IT,Freight and logistics,PAID
INV-2026-001042,V0026,Vertex Consulting Incorporated,2026-01-03,2026-02-02,GBP,17140.09,0.0,17140.09,PR-59355,HR,Training services,PAID
INV-2026-001066,V0034,Metro Consulting Limited,2026-01-03,2026-03-04,GBP,3211.17,0.0,3211.17,PR-59650,LOG,Warehouse supplies,REVIEW
INV-2026-001202,V0041,Metro Foods Limited,2026-01-03,2026-02-02,USD,9371.69,749.73,10121.42,PR-83615,IT,Maintenance services,PAID
INV-2026-001372,V0061,Silverline Services Limited,2026-01-03,2026-02-02,USD,3683.01,368.3,4051.31,PO-10734,OPS,Warehouse supplies,PAID
INV-2026-000068,V0051,Nova Systems Corporation,2026-01-04,2026-02-03,EUR,2576.94,206.16,2783.1,CAPEX-86619,HR,Training services,PAID
INV-2026-000078,V0017,Delta Pharma Limited,2026-01-04,2026-02-03,LKR,1582152.28,237322.84,1819475.12,CAPEX-12068,FIN,Office equipment,PAID
INV-2026-000215,V0039,Zenith Consulting Incorporated,2026-01-04,2026-02-03,USD,19246.1,0.0,19246.1,OPEX-41797,PROC,Security services,PAID
INV-2026-000241,V0050,Keystone Trading Corporation,2026-01-04,2026-02-03,USD,7829.46,0.0,7829.46,PR-84967,LOG,Freight and logistics,PAID
INV-2026-000405,V0041,Metro Foods Limited,2026-01-04,2026-03-05,LKR,1493657.03,268858.27,1762515.29,PR-97797,MKT,Network equipment,PAID
INV-2026-000491,V0067,Unity Foods Corporation,2026-01-04,2026-01-19,USD,11045.9,1988.26,13034.16,CAPEX-55544,MKT,Office equipment,REVIEW
INV-2026-000533,V0049,Seacrest Consulting Incorporated,2026-01-04,2026-01-19,LKR,1436497.98,143649.8,1580147.78,OPEX-42396,PROC,Cloud infrastructure services,PAID
INV-2026-000537,V0042,Evergreen Packaging Limited,2026-01-04,2026-02-03,LKR,570297.59,0.0,570297.59,OPEX-41862,IT,Cloud infrastructure services,PAID
INV-2026-000549,V0010,Silverline Systems Incorporated,2026-01-04,2026-02-03,GBP,9889.14,0.0,9889.14,OPEX-93744,IT,Network equipment,REVIEW
INV-2026-000627,V0015,Titan Consulting Limited,2026-01-04,2026-03-05,EUR,10339.53,0.0,10339.53,CAPEX-82006,OPS,Office equipment,PAID
INV-2026-000686,V0017,Delta Pharma Limited,2026-01-04,2026-02-03,GBP,1113.16,89.05,1202.22,PO-69793,LOG,Freight and logistics,PAID
INV-2026-001115,V0018,Royal Networks Incorporated,2026-01-04,2026-03-05,USD,7632.16,0.0,7632.16,PO-11776,MKT,Training services,PAID
INV-2026-001527,V0024,Unity Foods Limited,2026-01-04,2026-02-03,GBP,798.19,0.0,798.19,PR-62004,OPS,Cloud infrastructure services,PAID
INV-2026-001928,V0068,Harbor Supplies Limited,2026-01-04,2026-02-03,GBP,7620.55,762.05,8382.6,OPEX-44588,PROC,Office equipment,OPEN
INV-2026-000011,V0061,Silverline Services Limited,2026-01-05,2026-03-06,USD,19998.17,1599.85,21598.02,PR-95215,IT,Training services,OPEN
INV-2026-000023,V0058,Harbor Logistics Limited,2026-01-05,2026-01-20,USD,4525.34,814.56,5339.9,PR-50135,PROC,Security services,PAID
INV-2026-000282,V0059,Seacrest Solutions Limited,2026-01-05,2026-01-20,LKR,337017.44,33701.74,370719.19,PO-66072,FIN,Warehouse supplies,PAID
INV-2026-000772,V0070,Royal Supplies Incorporated,2026-01-05,2026-01-20,USD,17616.9,0.0,17616.9,OPEX-68997,OPS,Maintenance services,REVIEW
INV-2026-000845,V0069,Keystone Technologies Incorporated,2026-01-05,2026-01-20,USD,2439.56,0.0,2439.56,OPEX-70314,PROC,Maintenance services,PAID
INV-2026-000990,V0043,Silverline Logistics Limited,2026-01-05,2026-03-06,EUR,9044.36,1356.65,10401.02,PR-75984,LOG,Warehouse supplies,REVIEW
INV-2026-001514,V0061,Silverline Services Limited,2026-01-05,2026-02-04,GBP,12989.51,1039.16,14028.67,PO-28446,MKT,Professional consulting,REVIEW
INV-2026-001843,V0046,Metro Holdings Incorporated,2026-01-05,2026-02-04,GBP,6853.87,1233.7,8087.56,PO-51309,MKT,Packaging materials,REVIEW
INV-2026-001945,V0024,Unity Foods Limited,2026-01-05,2026-02-19,USD,11708.03,0.0,11708.03,OPEX-88361,PROC,Security services,PAID
INV-2026-000062,V0038,Insight Services Limited,2026-01-06,2026-02-20,USD,280.99,50.58,331.57,PO-89482,PROC,Packaging materials,PAID
INV-2026-000258,V0015,Titan Consulting Limited,2026-01-06,2026-02-05,GBP,2294.13,0.0,2294.13,PR-77632,FIN,Data services,PAID
INV-2026-000321,V0010,Silverline Systems Incorporated,2026-01-06,2026-01-21,USD,18061.62,1806.16,19867.78,PR-22055,MKT,Network equipment,PAID
INV-2026-000625,V0040,Summit Textiles Incorporated,2026-01-06,2026-03-07,LKR,641482.22,0.0,641482.22,CAPEX-36287,FIN,Office equipment,REVIEW
INV-2026-000895,V0063,Fusion Consulting Incorporated,2026-01-06,2026-02-05,USD,3708.5,0.0,3708.5,CAPEX-60070,OPS,Software licensing,REVIEW
INV-2026-000941,V0013,Delta Solutions Corporation,2026-01-06,2026-02-05,USD,13138.8,0.0,13138.8,CAPEX-37556,OPS,Packaging materials,REVIEW
INV-2026-001350,V0003,Harbor Services Incorporated,2026-01-06,2026-02-20,USD,15635.02,1250.8,16885.82,CAPEX-82468,IT,Training services,PAID
INV-2026-001451,V0053,Pioneer Trading Incorporated,2026-01-06,2026-02-05,EUR,5088.82,763.32,5852.15,OPEX-99700,IT,Network equipment,REVIEW
INV-2026-001495,V0089,Pioneer Supplies Limited,2026-01-06,2026-02-05,LKR,1545564.11,278201.54,1823765.65,CAPEX-57347,MKT,Packaging materials,PAID
INV-2026-001503,V0056,Silverline Technologies Incorporated,2026-01-06,2026-02-20,EUR,5961.02,894.15,6855.17,OPEX-12473,IT,Professional consulting,PAID
INV-2026-001564,V0032,Keystone Logistics Limited,2026-01-06,2026-03-07,USD,16778.06,1677.81,18455.87,PR-64044,FIN,Data services,PAID
INV-2026-001616,V0048,Zenith Trading Incorporated,2026-01-06,2026-02-20,LKR,617218.88,0.0,617218.88,OPEX-63788,PROC,Data services,PAID
INV-2026-001625,V0011,Nova Engineering Corporation,2026-01-06,2026-01-21,LKR,1742190.89,139375.27,1881566.16,PO-51064,OPS,Professional consulting,PAID
INV-2026-001630,V0022,Crescent Supplies Limited,2026-01-06,2026-03-07,GBP,19756.93,1580.55,21337.48,OPEX-86662,LOG,Freight and logistics,PAID
INV-2026-001631,V0058,Harbor Logistics Limited,2026-01-06,2026-02-20,GBP,11387.65,911.01,12298.66,PO-58492,IT,Freight and logistics,REVIEW
INV-2026-001777,V0066,Jade Pharma Incorporated,2026-01-06,2026-03-07,EUR,17909.38,1790.94,19700.32,PR-31889,IT,Packaging materials,REVIEW
INV-2026-001799,V0029,Zenith Supplies Limited,2026-01-06,2026-02-20,USD,5531.11,829.67,6360.77,CAPEX-75388,PROC,Maintenance services,PAID
INV-2026-001980,V0058,Harbor Logistics Limited,2026-01-06,2026-02-20,LKR,1413068.16,211960.22,1625028.39,OPEX-62793,PROC,Software licensing,REVIEW
INV-2026-000009,V0085,Royal Holdings Limited,2026-01-07,2026-01-22,GBP,8640.82,864.08,9504.9,PR-16590,OPS,Maintenance services,REVIEW
INV-2026-000375,V0018,Royal Networks Incorporated,2026-01-07,2026-02-21,USD,5277.39,527.74,5805.13,OPEX-60891,PROC,Cloud infrastructure services,PAID
INV-2026-000597,V0058,Harbor Logistics Limited,2026-01-07,2026-02-06,USD,11855.47,2133.98,13989.46,PR-69596,IT,Office equipment,PAID
INV-2026-000612,V0016,Zenith Holdings Incorporated,2026-01-07,2026-02-21,GBP,15959.04,2872.63,18831.67,PR-90649,HR,Maintenance services,PAID
INV-2026-000682,V0025,Lanka Foods Limited,2026-01-07,2026-03-08,USD,9845.94,0.0,9845.94,CAPEX-75494,LOG,Packaging materials,PAID
INV-2026-000891,V0022,Crescent Supplies Limited,2026-01-07,2026-03-08,GBP,15947.64,2870.57,18818.21,CAPEX-83537,PROC,Software licensing,PAID
INV-2026-001184,V0012,Evergreen Industries Corporation,2026-01-07,2026-02-21,USD,12622.42,1893.36,14515.78,PR-13646,LOG,Warehouse supplies,REVIEW
INV-2026-001899,V0004,Delta Solutions Incorporated,2026-01-07,2026-01-22,USD,6531.23,1175.62,7706.85,PO-20830,PROC,Professional consulting,PAID
INV-2026-001901,V0078,Northstar Packaging Corporation,2026-01-07,2026-02-06,USD,6339.34,1141.08,7480.42,PO-76062,PROC,Office equipment,PAID
INV-2026-000012,V0006,Crescent Industries Limited,2026-01-08,2026-02-07,USD,16803.87,2520.58,19324.45,PR-41266,FIN,Packaging materials,REVIEW
INV-2026-000091,V0035,Global Engineering Limited,2026-01-08,2026-02-07,USD,14089.65,1127.17,15216.82,CAPEX-56009,IT,Freight and logistics,REVIEW
INV-2026-000495,V0076,Royal Services Incorporated,2026-01-08,2026-02-22,USD,5245.46,524.55,5770.0,PR-98724,PROC,Professional consulting,OPEN
INV-2026-000619,V0036,Unity Packaging Corporation,2026-01-08,2026-02-07,USD,12575.04,0.0,12575.04,OPEX-34560,LOG,Software licensing,PAID
INV-2026-000629,V0017,Delta Pharma Limited,2026-01-08,2026-02-22,GBP,1123.07,112.31,1235.37,PO-21287,HR,Maintenance services,PAID
INV-2026-000792,V0025,Lanka Foods Limited,2026-01-08,2026-02-07,LKR,1658776.93,165877.69,1824654.62,OPEX-83377,HR,Maintenance services,PAID
INV-2026-000816,V0019,Titan Foods Incorporated,2026-01-08,2026-02-07,USD,4801.45,480.15,5281.6,PR-58449,LOG,Training services,PAID
INV-2026-000922,V0013,Delta Solutions Corporation,2026-01-08,2026-02-22,USD,16184.21,2427.63,18611.85,CAPEX-42821,FIN,Software licensing,PAID
INV-2026-001583,V0057,Keystone Packaging Limited,2026-01-08,2026-03-09,USD,18713.63,0.0,18713.63,CAPEX-48198,IT,Network equipment,REVIEW
INV-2026-001689,V0058,Harbor Logistics Limited,2026-01-08,2026-02-22,EUR,19358.57,3484.54,22843.11,OPEX-36816,FIN,Software licensing,OPEN
INV-2026-001698,V0088,Unity Technologies Limited,2026-01-08,2026-02-22,USD,405.16,0.0,405.16,PR-69669,MKT,Security services,REVIEW
INV-2026-001927,V0004,Delta Solutions Incorporated,2026-01-08,2026-03-09,USD,6771.62,677.16,7448.78,PO-82055,FIN,Security services,PAID
INV-2026-001996,V0035,Global Engineering Limited,2026-01-08,2026-02-07,LKR,1989084.23,198908.42,2187992.65,CAPEX-99864,HR,Security services,REVIEW
INV-2026-001997,V0005,Nova Logistics Limited,2026-01-08,2026-01-23,USD,5678.39,851.76,6530.15,PR-54909,MKT,Network equipment,PAID
INV-2026-000201,V0061,Silverline Services Limited,2026-01-09,2026-02-08,USD,3698.03,0.0,3698.03,OPEX-59081,HR,Packaging materials,PAID
INV-2026-000272,V0039,Zenith Consulting Incorporated,2026-01-09,2026-02-23,USD,7049.71,0.0,7049.71,OPEX-25386,MKT,Professional consulting,REVIEW
INV-2026-000547,V0023,Metro Consulting Corporation,2026-01-09,2026-02-08,USD,9769.16,0.0,9769.16,PO-84843,PROC,Maintenance services,REVIEW
INV-2026-001025,V0065,Pioneer Industries Incorporated,2026-01-09,2026-02-08,USD,15960.8,1276.86,17237.66,OPEX-32027,HR,Software licensing,PAID
INV-2026-001176,V0075,Vertex Packaging Limited,2026-01-09,2026-02-08,LKR,855765.69,0.0,855765.69,OPEX-82297,HR,Software licensing,REVIEW
INV-2026-000187,V0038,Insight Services Limited,2026-01-10,2026-01-25,USD,11411.08,0.0,11411.08,CAPEX-47298,HR,Training services,PAID
INV-2026-000385,V0001,Unity Trading Limited,2026-01-10,2026-03-11,USD,14645.5,0.0,14645.5,CAPEX-79603,FIN,Cloud infrastructure services,REVIEW
INV-2026-000476,V0077,Pioneer Packaging Limited,2026-01-10,2026-03-11,EUR,15077.38,0.0,15077.38,OPEX-96427,FIN,Security services,REVIEW
INV-2026-000487,V0078,Northstar Packaging Corporation,2026-01-10,2026-02-24,USD,12325.64,1848.85,14174.48,CAPEX-88311,IT,Freight and logistics,PAID
INV-2026-000605,V0045,Nova Solutions Corporation,2026-01-10,2026-02-09,LKR,89053.38,13358.01,102411.39,CAPEX-53399,IT,Cloud infrastructure services,REVIEW
INV-2026-000607,V0047,Insight Technologies Incorporated,2026-01-10,2026-01-25,LKR,616106.6,49288.53,665395.13,OPEX-18869,MKT,Maintenance services,PAID
INV-2026-000683,V0003,Harbor Services Incorporated,2026-01-10,2026-02-09,USD,6833.85,1230.09,8063.94,PO-63150,IT,Professional consulting,PAID
INV-2026-000793,V0083,Metro Engineering Limited,2026-01-10,2026-02-09,USD,5541.51,0.0,5541.51,CAPEX-46408,PROC,Data services,PAID
INV-2026-001056,V0031,Pioneer Supplies Incorporated,2026-01-10,2026-02-09,USD,6078.22,0.0,6078.22,PR-88924,LOG,Professional consulting,PAID
INV-2026-001090,V0052,Apex Consulting Incorporated,2026-01-10,2026-02-09,USD,18590.47,1859.05,20449.52,PO-90801,FIN,Software licensing,PAID
INV-2026-001207,V0052,Apex Consulting Incorporated,2026-01-10,2026-03-11,EUR,897.71,161.59,1059.3,PO-19103,HR,Software licensing,REVIEW
INV-2026-001270,V0015,Titan Consulting Limited,2026-01-10,2026-01-25,USD,15295.44,2294.32,17589.75,PO-32815,OPS,Software licensing,PAID
INV-2026-001432,V0048,Zenith Trading Incorporated,2026-01-10,2026-02-09,EUR,19539.65,3517.14,23056.78,PO-60058,LOG,Warehouse supplies,REVIEW
INV-2026-001822,V0054,Jade Industries Limited,2026-01-10,2026-01-25,GBP,7291.26,583.3,7874.56,CAPEX-54194,IT,Software licensing,REVIEW
INV-2026-001934,V0033,BrightPath Logistics Corporation,2026-01-10,2026-02-09,USD,10451.24,1045.12,11496.37,PO-58081,PROC,Cloud infrastructure services,PAID
INV-2026-000271,V0070,Royal Supplies Incorporated,2026-01-11,2026-02-25,EUR,4464.61,446.46,4911.08,PO-95678,MKT,Professional consulting,PAID
INV-2026-000322,V0016,Zenith Holdings Incorporated,2026-01-11,2026-02-25,USD,3459.63,518.94,3978.57,OPEX-61773,HR,Cloud infrastructure services,REVIEW
INV-2026-000399,V0023,Metro Consulting Corporation,2026-01-11,2026-02-10,USD,16055.73,1284.46,17340.19,OPEX-25191,IT,Cloud infrastructure services,PAID
INV-2026-000433,V0020,Global Solutions Limited,2026-01-11,2026-02-10,USD,11985.98,2157.48,14143.46,CAPEX-74297,MKT,Security services,REVIEW
INV-2026-000463,V0030,Orbit Pharma Corporation,2026-01-11,2026-02-10,EUR,18165.59,1453.25,19618.84,OPEX-71561,HR,Cloud infrastructure services,PAID
INV-2026-000593,V0059,Seacrest Solutions Limited,2026-01-11,2026-02-10,EUR,10812.84,1946.31,12759.15,PO-83098,HR,Data services,PAID
INV-2026-000708,V0006,Crescent Industries Limited,2026-01-11,2026-02-25,GBP,15399.9,0.0,15399.9,OPEX-79615,HR,Packaging materials,PAID
INV-2026-000731,V0062,Vertex Packaging Incorporated,2026-01-11,2026-02-10,GBP,11073.08,885.85,11958.93,PO-62642,LOG,Professional consulting,PAID
INV-2026-001725,V0021,Vertex Supplies Corporation,2026-01-11,2026-02-10,EUR,6708.54,0.0,6708.54,PR-20069,FIN,Packaging materials,REVIEW
INV-2026-001809,V0011,Nova Engineering Corporation,2026-01-11,2026-03-12,USD,16450.02,0.0,16450.02,PR-61231,MKT,Packaging materials,OPEN
INV-2026-001821,V0019,Titan Foods Incorporated,2026-01-11,2026-02-10,USD,10314.15,1031.42,11345.57,CAPEX-36510,PROC,Freight and logistics,PAID
INV-2026-000350,V0058,Harbor Logistics Limited,2026-01-12,2026-02-11,USD,9365.35,0.0,9365.35,CAPEX-83956,IT,Freight and logistics,OPEN
INV-2026-000575,V0068,Harbor Supplies Limited,2026-01-12,2026-02-11,USD,1314.99,0.0,1314.99,CAPEX-16957,HR,Training services,PAID
INV-2026-000944,V0032,Keystone Logistics Limited,2026-01-12,2026-03-13,EUR,3879.35,581.9,4461.25,CAPEX-29472,OPS,Professional consulting,PAID
INV-2026-001394,V0057,Keystone Packaging Limited,2026-01-12,2026-02-11,EUR,4069.83,610.47,4680.3,OPEX-32671,PROC,Warehouse supplies,PAID
INV-2026-001594,V0090,Nova Packaging Corporation,2026-01-12,2026-02-11,USD,9209.81,0.0,9209.81,PR-51983,IT,Warehouse supplies,PAID
INV-2026-001703,V0084,Harbor Industries Limited,2026-01-12,2026-03-13,LKR,1717571.48,257635.72,1975207.2,OPEX-40345,PROC,Warehouse supplies,REVIEW
INV-2026-000594,V0081,Nova Textiles Corporation,2026-01-13,2026-02-12,USD,8858.33,708.67,9567.0,CAPEX-70469,FIN,Maintenance services,PAID
INV-2026-001144,V0006,Crescent Industries Limited,2026-01-13,2026-02-12,USD,18876.96,0.0,18876.96,CAPEX-47015,HR,Data services,PAID
INV-2026-001212,V0015,Titan Consulting Limited,2026-01-13,2026-02-12,USD,5362.9,965.32,6328.22,OPEX-45377,PROC,Freight and logistics,REVIEW
INV-2026-001724,V0084,Harbor Industries Limited,2026-01-13,2026-02-12,EUR,2459.25,368.89,2828.14,OPEX-32795,HR,Office equipment,REVIEW
INV-2026-001829,V0056,Silverline Technologies Incorporated,2026-01-13,2026-01-28,LKR,1611485.53,241722.83,1853208.36,OPEX-12142,LOG,Warehouse supplies,PAID
INV-2026-001910,V0035,Global Engineering Limited,2026-01-13,2026-01-28,LKR,798561.21,119784.18,918345.39,PO-82848,LOG,Warehouse supplies,PAID
INV-2026-001967,V0050,Keystone Trading Corporation,2026-01-13,2026-02-12,EUR,14021.69,2103.25,16124.95,PO-44543,IT,Maintenance services,REVIEW
INV-2026-000125,V0054,Jade Industries Limited,2026-01-14,2026-02-28,EUR,7554.35,755.44,8309.79,PO-59140,FIN,Cloud infrastructure services,PAID
INV-2026-000267,V0080,Vertex Textiles Corporation,2026-01-14,2026-02-13,USD,9754.03,0.0,9754.03,OPEX-83607,LOG,Training services,REVIEW
INV-2026-000502,V0017,Delta Pharma Limited,2026-01-14,2026-03-15,LKR,860772.34,129115.85,989888.19,PO-75860,OPS,Maintenance services,OPEN
INV-2026-000851,V0051,Nova Systems Corporation,2026-01-14,2026-02-13,USD,2160.95,388.97,2549.92,OPEX-64484,MKT,Packaging materials,PAID
INV-2026-000918,V0084,Harbor Industries Limited,2026-01-14,2026-02-13,USD,16905.51,1690.55,18596.06,CAPEX-25953,PROC,Data services,REVIEW
INV-2026-001067,V0035,Global Engineering Limited,2026-01-14,2026-02-13,GBP,15577.26,2803.91,18381.17,OPEX-70003,FIN,Packaging materials,PAID
INV-2026-001277,V0030,Orbit Pharma Corporation,2026-01-14,2026-03-15,EUR,6698.69,0.0,6698.69,CAPEX-42949,HR,Warehouse supplies,PAID
INV-2026-001315,V0068,Harbor Supplies Limited,2026-01-14,2026-03-15,USD,13224.85,1983.73,15208.58,OPEX-51541,OPS,Professional consulting,REVIEW
INV-2026-000097,V0077,Pioneer Packaging Limited,2026-01-15,2026-01-30,USD,6112.22,0.0,6112.22,PR-43491,OPS,Network equipment,PAID
INV-2026-000329,V0069,Keystone Technologies Incorporated,2026-01-15,2026-02-14,EUR,16948.52,1694.85,18643.37,CAPEX-32768,FIN,Professional consulting,REVIEW
INV-2026-000532,V0019,Titan Foods Incorporated,2026-01-15,2026-02-14,LKR,800033.01,120004.95,920037.96,OPEX-33803,FIN,Office equipment,PAID
INV-2026-001043,V0022,Crescent Supplies Limited,2026-01-15,2026-01-30,USD,19486.28,0.0,19486.28,PO-25380,LOG,Training services,PAID
INV-2026-001070,V0074,Crescent Supplies Corporation,2026-01-15,2026-01-30,GBP,5802.72,580.27,6382.99,PO-65572,PROC,Data services,OPEN
INV-2026-001288,V0032,Keystone Logistics Limited,2026-01-15,2026-01-30,USD,2639.11,0.0,2639.11,CAPEX-15730,OPS,Network equipment,PAID
INV-2026-001591,V0088,Unity Technologies Limited,2026-01-15,2026-03-16,LKR,107224.27,0.0,107224.27,CAPEX-87000,PROC,Security services,REVIEW
INV-2026-001612,V0073,Crescent Logistics Corporation,2026-01-15,2026-03-01,LKR,1144735.69,0.0,1144735.69,PO-83877,LOG,Software licensing,REVIEW
INV-2026-001960,V0009,Orbit Consulting Limited,2026-01-15,2026-01-30,LKR,1959809.83,195980.98,2155790.82,PR-19837,IT,Training services,PAID
INV-2026-000159,V0089,Pioneer Supplies Limited,2026-01-16,2026-02-15,USD,8382.56,838.26,9220.82,PR-54589,LOG,Freight and logistics,REVIEW
INV-2026-000672,V0036,Unity Packaging Corporation,2026-01-16,2026-03-02,USD,6733.18,0.0,6733.18,CAPEX-44690,FIN,Packaging materials,PAID
INV-2026-000931,V0006,Crescent Industries Limited,2026-01-16,2026-02-15,USD,11740.3,1761.05,13501.35,CAPEX-50788,LOG,Data services,PAID
INV-2026-001032,V0040,Summit Textiles Incorporated,2026-01-16,2026-03-17,EUR,3894.37,389.44,4283.81,OPEX-51896,MKT,Network equipment,REVIEW
INV-2026-001037,V0049,Seacrest Consulting Incorporated,2026-01-16,2026-02-15,USD,16578.35,0.0,16578.35,PR-16889,MKT,Freight and logistics,PAID
INV-2026-001092,V0062,Vertex Packaging Incorporated,2026-01-16,2026-03-17,USD,12920.2,1033.62,13953.81,PO-45290,OPS,Office equipment,PAID
INV-2026-001281,V0043,Silverline Logistics Limited,2026-01-16,2026-02-15,USD,1569.49,235.42,1804.91,PO-55330,IT,Maintenance services,PAID
INV-2026-001363,V0030,Orbit Pharma Corporation,2026-01-16,2026-03-02,USD,8307.75,1495.39,9803.14,CAPEX-29741,IT,Network equipment,PAID
INV-2026-001391,V0082,Redwood Logistics Incorporated,2026-01-16,2026-02-15,USD,17174.86,1373.99,18548.85,PR-95865,LOG,Warehouse supplies,REVIEW
INV-2026-001650,V0009,Orbit Consulting Limited,2026-01-16,2026-01-31,USD,6963.16,1253.37,8216.53,PO-91244,MKT,Maintenance services,PAID
INV-2026-001671,V0038,Insight Services Limited,2026-01-16,2026-02-15,EUR,16001.11,1280.09,17281.2,PR-59284,HR,Warehouse supplies,PAID
INV-2026-001739,V0053,Pioneer Trading Incorporated,2026-01-16,2026-03-02,USD,17428.89,1742.89,19171.78,PO-35245,PROC,Warehouse supplies,PAID
INV-2026-001757,V0073,Crescent Logistics Corporation,2026-01-16,2026-01-31,USD,6831.61,1024.74,7856.35,CAPEX-47249,HR,Professional consulting,REVIEW
INV-2026-000608,V0071,Harbor Technologies Limited,2026-01-17,2026-02-16,USD,2794.77,503.06,3297.83,CAPEX-53150,LOG,Maintenance services,PAID
INV-2026-000634,V0004,Delta Solutions Incorporated,2026-01-17,2026-03-03,USD,7106.64,710.66,7817.31,PR-46996,MKT,Network equipment,REVIEW
INV-2026-000687,V0076,Royal Services Incorporated,2026-01-17,2026-02-01,USD,10003.21,1500.48,11503.69,PR-18271,MKT,Professional consulting,REVIEW
INV-2026-000719,V0087,Orbit Trading Limited,2026-01-17,2026-02-16,USD,1855.7,185.57,2041.27,PR-47797,IT,Software licensing,PAID
INV-2026-000722,V0025,Lanka Foods Limited,2026-01-17,2026-02-01,LKR,1608928.48,241339.27,1850267.75,CAPEX-63961,LOG,Network equipment,REVIEW
INV-2026-000755,V0006,Crescent Industries Limited,2026-01-17,2026-02-16,GBP,324.22,0.0,324.22,PO-88878,FIN,Security services,OPEN
